Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
45,Skeleton Barrel,0.5916666666666667,0.5274183610597659,0.36287009595586406
41,Giant,0.6,0.5250301568154403,0.5458508799604918
86,Clone,0.574468085106383,0.5245555890328412,0.83580496512208
8,Royal Giant,0.5512820512820513,0.5249391727493917,0.8724052895965767
43,Hunter,0.5272727272727272,0.5240108728480821,1.0
48,Earthquake,0.5490196078431373,0.5242835595776772,1.0
106,Goblin Giant,0.5483870967741935,0.5238380809595202,1.0
3,Rascals,0.5882352941176471,0.5237384293819051,1.0
