Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
100,Ice Golem,0.5882352941176471,0.5155776123518059,0.5505311687959835
20,Fisherman,0.631578947368421,0.514894779994534,0.7431364526978012
72,Balloon,0.5339233038348082,0.5190176699610662,0.7583317985782079
70,Rage,0.5419847328244275,0.5162108824358613,0.8044571251244625
39,Cannon Cart,0.543859649122807,0.5150510908588788,0.8512081441449845
1,Witch,0.5305555555555556,0.5250169033130494,0.8741743509577093
69,Bats,0.5258426966292135,0.5196412001237241,0.8932318313981901
36,Goblin Cage,0.5357142857142857,0.5145205479452055,1.0
63,Battle Ram,0.5161290322580645,0.5146570796460177,1.0
65,Royal Ghost,0.5301204819277109,0.5151599443671766,1.0
47,Earthquake,0.525,0.5145684442001099,1.0
29,Archer Queen,0.5555555555555556,0.5144808743169399,1.0
21,Ram Rider,0.515527950310559,0.5154961615012795,1.0
79,Skeleton Dragons,0.5277777777777778,0.5149750415973378,1.0
74,Bomb Tower,0.5283018867924528,0.5147586206896552,1.0
40,Giant,0.5238095238095238,0.5150250417362271,1.0
