Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
0,Mega Minion,0.6402640264026402,0.4930882143366111,0.0003105721612590818
105,Zap,0.5383451059535822,0.4971899587860622,0.010033981198236838
75,Baby Dragon,0.5429389312977099,0.4926658163265306,0.023023309895376723
72,Balloon,0.5206643491695635,0.4920735573874445,0.04244636272004392
49,Goblin Gang,0.5460992907801419,0.491156462585034,0.04283168034422544
82,Musketeer,0.5543933054393305,0.4904998538439052,0.05208698644398163
51,Electro Wizard,0.5225375626043406,0.4908564186130726,0.061707616966311774
12,Fireball,0.5250176180408739,0.4905948144382308,0.07150464209802604
58,Skeleton Army,0.5152817574021012,0.4887102946804439,0.08917245980210277
41,Fire Spirit,0.5676855895196506,0.4893527006064024,0.11154616575313027
84,Archers,0.5512465373961218,0.4895818364707573,0.1177168008125878
68,Golem,0.5371329879101899,0.4896899569796766,0.12634522128324377
11,Valkyrie,0.5118268746854555,0.4873429589349334,0.12779589168740277
103,Lightning,0.5675675675675675,0.4892927585235277,0.12819377139677046
60,Furnace,0.5546875,0.4890996602491506,0.15691582094060472
14,Dark Prince,0.5390070921985816,0.4891982021168624,0.16888912142180146
104,Elite Barbarians,0.519090909090909,0.4887459807073955,0.17240073786577775
87,Mega Knight,0.5103734439834025,0.4869518906444168,0.17932408682375842
56,Tornado,0.522867737948084,0.4888649976962064,0.17941681983008217
4,Flying Machine,0.5735294117647058,0.4887249443207127,0.18146436815541767
54,The Log,0.509009009009009,0.4864718614718614,0.19061309004018187
66,Ice Spirit,0.5606060606060606,0.4889076102218478,0.1907991407433912
13,Goblins,0.5769230769230769,0.4887343532684283,0.21374606802611423
25,Night Witch,0.543046357615894,0.4888857224280422,0.22195260494374253
2,Arrows,0.5069402534701267,0.4859615045029136,0.23750101695958475
31,Bandit,0.5220228384991843,0.4884449083047562,0.2532688118129053
9,Executioner,0.5218800648298217,0.4884380128300761,0.2548133959910004
27,Cannon,0.5590062111801242,0.4886157284536946,0.2644499926340869
8,Royal Giant,0.5641025641025641,0.4884076079411356,0.2949470408938722
42,Hunter,0.5533333333333333,0.4884239888423989,0.2983106935567167
1,Witch,0.504070131496556,0.4852350165996855,0.3047381528653375
33,Wall Breakers,0.5655737704918032,0.4884690191719922,0.3048985282233696
101,Inferno Dragon,0.5088013411567477,0.4868614330014689,0.3060149772677736
34,Barbarians,0.554140127388535,0.4884824794080692,0.3092438561106019
61,Mini P.E.K.K.A,0.5105953582240161,0.4872807710538789,0.3229913276132919
93,Tesla,0.5205761316872428,0.4881474978050922,0.33590744503827397
98,Inferno Tower,0.5213849287169042,0.4882120369014497,0.33837139699165764
15,Skeletons,0.5524475524475524,0.4883656123728577,0.34367254974093453
40,Giant,0.5503355704697986,0.4883558778413052,0.3536112060581499
23,Bomber,0.5278592375366569,0.4883221091846969,0.358017229267934
48,Ice Wizard,0.5257142857142857,0.488235294117647,0.3642971776933799
92,Bowler,0.5276872964169381,0.4882361328960501,0.37455929881512917
24,Hog Rider,0.5022590361445783,0.4853137516688918,0.39319611920576225
28,Minions,0.5110782865583456,0.4874303778413367,0.4149060297692372
26,Wizard,0.4875207986688852,0.475386493083808,0.4189917623998529
21,Ram Rider,0.5233644859813084,0.4880697242463209,0.4298792325685179
96,Knight,0.5186246418338109,0.4878783531774494,0.44903572684142046
19,Electro Dragon,0.5188172043010753,0.4879101899827288,0.463400220452983
36,Goblin Cage,0.5555555555555556,0.4880508357507943,0.5291479846167337
22,Barbarian Barrel,0.5039872408293461,0.4867772299417301,0.572204122923746
30,Lava Hound,0.5346534653465347,0.4878792076464884,0.5734427654297678
69,Bats,0.498015873015873,0.4852661596958175,0.5929275090571118
57,Firecracker,0.5020689655172413,0.4864291129643669,0.5994040516561507
3,Rascals,0.6,0.4879286694101509,0.6042080137327137
59,Mirror,0.50625,0.4871345029239766,0.6055695732957761
46,Electro Giant,0.5167464114832536,0.4876951202362536,0.6247556194117462
81,Dart Goblin,0.5017006802721088,0.4866310160427807,0.640784269244523
89,Poison,0.5153061224489796,0.4876473891072431,0.6861639826227357
79,Skeleton Dragons,0.543859649122807,0.4878149524989674,0.7077607563142716
65,Royal Ghost,0.5193798449612403,0.4876929495202336,0.7087354872385521
47,Earthquake,0.6,0.4877481177275838,0.7152491865522348
67,Giant Skeleton,0.5,0.4868039443155452,0.7312706324667515
20,Fisherman,0.5294117647058824,0.4877275234418091,0.7315726825654427
10,Phoenix,0.5014577259475219,0.487028808943672,0.7600141618445838
16,Minion Horde,0.4935217903415783,0.4850873126255602,0.7708375070776772
83,Barbarian Hut,0.5555555555555556,0.4877279583161936,0.7856961010376029
50,Elixir Collector,0.4955357142857143,0.4870349492671927,0.9247070676078636
88,Freeze,0.4858823529411765,0.484080370942813,0.9612939887110115
100,Ice Golem,0.4878048780487805,0.4871474225371682,1.0
53,Prince,0.4885057471264368,0.4857310973815828,1.0
86,Clone,0.4876543209876543,0.48642081189251,1.0
78,Tombstone,0.4913793103448275,0.4872293170460855,1.0
63,Battle Ram,0.4883720930232558,0.4872822781310478,1.0
62,Giant Snowball,0.4871794871794871,0.4870184254606365,1.0
106,Goblin Giant,0.5454545454545454,0.4876678542066319,1.0
39,Cannon Cart,0.5066666666666667,0.4875086266390614,1.0
91,Monk,0.5,0.4875308303644834,1.0
