Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
84,Archers,0.5428122545168892,0.5032907471931862,0.05185898913353871
96,Knight,0.535181236673774,0.5038862391803568,0.0580655762593614
3,Flying Machine,0.5989304812834224,0.5016644063617309,0.07718740407024093
105,Zap,0.5237249429078914,0.5056125176150444,0.11465658537689521
22,Barbarian Barrel,0.5410872313527181,0.502296767668254,0.13106770482517194
106,Goblin Giant,0.5728643216080402,0.5015007606595123,0.1912193524735477
14,Dark Prince,0.5270727580372251,0.5023138229496957,0.24920957998404786
13,Goblins,0.5429864253393665,0.501702799235817,0.2523267257742645
28,Minions,0.5213815789473685,0.5026876982728234,0.27436865494149143
6,Guards,0.5305555555555556,0.5018487394957983,0.29159421696201976
40,Giant,0.5218241042345277,0.50241461822928,0.295056963421811
71,Goblin Barrel,0.5160349854227405,0.5074745186862967,0.3218784305013535
95,Mortar,0.5853658536585366,0.5011866764874376,0.3469736521297524
63,Battle Ram,0.5380281690140845,0.5014690668321953,0.3673729300386943
82,Musketeer,0.5172064777327935,0.5024840312278211,0.37294407318948997
27,Cannon,0.5257301808066759,0.5017016091760851,0.39856496273344844
1,Arrows,0.5132155018647641,0.5056394050019071,0.40736559676364525
48,Ice Wizard,0.5266903914590747,0.5015443693129643,0.43784968628785415
78,Tombstone,0.5251509054325956,0.5014361237147733,0.4851543918373692
65,Royal Ghost,0.5231788079470199,0.5013503968089085,0.5497156124132666
58,Skeleton Army,0.5132124918104389,0.5093086837651347,0.6049050644361094
12,Fireball,0.5085069776333397,0.5034475607859402,0.6249331316168383
23,Bomber,0.5109649122807017,0.5015981340704907,0.6463297494837622
43,Electro Spirit,0.5329341317365269,0.5011292243255451,0.6613693768410709
36,Goblin Cage,0.5303867403314917,0.5011298738649903,0.6739727908512139
64,Spear Goblins,0.5128983308042488,0.501278236452789,0.6997443871167874
18,Goblin Hut,0.5071123755334281,0.5013844423293242,0.7917648031269867
99,Princess,0.5053661616161617,0.5018265267890596,0.8016084014618611
75,Baby Dragon,0.504809542131589,0.5024324604078253,0.8291631264947303
61,Mini P.E.K.K.A,0.5044695564176084,0.5026087891990748,0.8542733591414715
79,Skeleton Dragons,0.5146443514644351,0.5010502038631028,0.8548126360211904
8,Lumberjack,0.504070131496556,0.5012432927627274,0.887430801485555
0,Mega Minion,0.508,0.5009888751545117,0.9287277998935106
24,Hog Rider,0.5028581965701641,0.5019636592134891,0.9387687275783385
53,Prince,0.502672115686891,0.501429307840105,0.9400362657315373
81,Dart Goblin,0.5011389521640092,0.501097424412094,1.0
73,Graveyard,0.5035211267605634,0.5009490014853937,1.0
49,Goblin Gang,0.501466275659824,0.5010738549200088,1.0
47,Earthquake,0.52,0.5009399264405394,1.0
41,Fire Spirit,0.5040214477211796,0.5009732057812565,1.0
91,Monk,0.5128205128205128,0.500919080102937,1.0
