Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
14,Goblins,0.575,0.5032310177705978,0.04704756174787969
35,Mighty Miner,0.591743119266055,0.5005133470225873,0.0676130045745349
4,Flying Machine,0.696969696969697,0.4971820632197991,0.13241494149578034
38,Royal Recruits,0.6266666666666667,0.4978955186927457,0.13876884678934878
84,Archers,0.5429141716566867,0.5009687240520343,0.20591859813573835
87,Mega Knight,0.5340393343419062,0.5096704871060171,0.22746203945782145
19,Goblin Hut,0.5794392523364486,0.4976291489892688,0.2727256120177464
101,Inferno Dragon,0.5414201183431953,0.4989406779661017,0.3168950201366593
99,Princess,0.5316973415132924,0.4993103448275862,0.33718313633649105
13,Fireball,0.5268361581920904,0.5002935995302408,0.33855015157004853
9,Lumberjack,0.5655737704918032,0.4974949899799599,0.36908356280830257
82,Musketeer,0.5271629778672032,0.498755875034559,0.40939873903938007
18,Miner,0.5192604006163328,0.5024857954545454,0.40964758364794596
8,Royal Giant,0.6296296296296297,0.4964521654024957,0.4116643627152331
47,Earthquake,0.6296296296296297,0.4964521654024957,0.4116643627152331
53,Prince,0.528344671201814,0.4985025864416009,0.41884804728913716
97,Sparky,0.5652173913043478,0.4966625463535228,0.4951425750850108
54,The Log,0.5173010380622838,0.5050420168067227,0.49687971467928427
96,Knight,0.5210084033613446,0.4978009895547003,0.5167782468606386
58,Skeleton Army,0.5135135135135135,0.4991573980451634,0.5310432087769466
12,Valkyrie,0.5110771581359816,0.4987522281639929,0.557639500530637
51,Electro Wizard,0.5185185185185185,0.4975192943770672,0.5636500228539092
48,Ice Wizard,0.5510204081632653,0.4967629482071713,0.5672042596054426
49,Goblin Gang,0.5173267326732673,0.4970350404312668,0.6223146075113666
93,Tesla,0.5218855218855218,0.4969871626932146,0.6223896215863358
65,Royal Ghost,0.5526315789473685,0.496532937097573,0.6260176059880552
89,Poison,0.5206349206349207,0.4969728876020005,0.6325233800841449
71,Goblin Barrel,0.5101351351351351,0.4972101673899566,0.6350765663897873
91,Monk,0.6666666666666666,0.4959805115712545,0.6371863430686961
104,Elite Barbarians,0.5152439024390244,0.4965662968832541,0.6961938840779249
41,Fire Spirit,0.5317460317460317,0.4964894684052156,0.705315396407082
37,Mother Witch,0.5409836065573771,0.4961756723414754,0.7170996220808203
32,Bandit,0.5098468271334792,0.4963084495488105,0.7408123852057902
106,Goblin Giant,0.6,0.4960918417195896,0.7511863074565595
105,Zap,0.5054945054945055,0.4958653278204371,0.753152139460121
42,Hunter,0.5287356321839081,0.4961509808790663,0.7616464815251318
27,Wizard,0.500768049155146,0.494946578111464,0.8679334850066778
102,Goblin Drill,0.5176470588235295,0.4959046909903202,0.8780799948212427
88,Freeze,0.5081967213114754,0.4957414829659318,0.898119787253741
66,Ice Spirit,0.5054945054945055,0.495676500508647,0.916511907863894
29,Minions,0.5021645021645021,0.4954931753798609,0.9258644009622246
75,Baby Dragon,0.5,0.4950657894736842,0.947765729968265
74,Bomb Tower,0.4990366088631984,0.4948539638386648,0.9505006190076922
69,Bats,0.4952279957582184,0.4929044465468306,0.9632654057033438
86,Clone,0.5,0.4955665024630541,1.0
94,Skeleton King,0.5,0.4955445544554455,1.0
92,Bowler,0.52,0.495720224993886,1.0
0,Mega Minion,0.5217391304347826,0.4958210422812192,1.0
83,Barbarian Hut,0.5,0.4956225680933852,1.0
3,Rascals,0.53125,0.4958353748162665,1.0
6,Elixir Golem,0.5333333333333333,0.4958374142997062,1.0
10,Executioner,0.4954128440366973,0.4953807740324594,1.0
28,Cannon,0.4963768115942029,0.495049504950495,1.0
33,Rocket,0.5,0.4955665024630541,1.0
73,Graveyard,0.5,0.4956161714564052,1.0
76,Heal Spirit,0.5,0.4956204379562043,1.0
78,Tombstone,0.5108695652173914,0.495773247140726,1.0
