Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
56,P.E.K.K.A,0.5540386803185438,0.5138164754953076,0.10403484311187776
66,Royal Ghost,0.5588235294117647,0.5068493150684932,0.16051060764658337
32,Bandit,0.5477386934673367,0.5082564351627004,0.18244113471902312
105,Zap,0.5348399246704332,0.5116342732001095,0.2971235503580931
51,Elixir Collector,0.6470588235294118,0.5022431104464858,0.3267827920374639
49,Ice Wizard,0.5365853658536586,0.5059780009564802,0.35772823418057853
79,Tombstone,0.5365853658536586,0.5055647643855079,0.3716314389011225
104,Elite Barbarians,0.5420875420875421,0.5040742417383431,0.4113483388252017
74,Graveyard,0.5294117647058824,0.505296100144439,0.43736445553638137
92,Bowler,0.5652173913043478,0.5024875621890548,0.4600390253047695
76,Baby Dragon,0.5246305418719212,0.5065334358186011,0.4869688998549061
3,Rascals,0.6666666666666666,0.501809665744092,0.49979203946413897
29,Minions,0.5294117647058824,0.5038009675190048,0.5102270347004618
0,Mega Minion,0.5321888412017167,0.502900490852298,0.5780623702504861
64,Battle Ram,0.5230769230769231,0.503755868544601,0.5957102777615064
41,Giant,0.5359116022099447,0.5026466696074107,0.5989008323444809
50,Goblin Gang,0.5236051502145923,0.5038832666509767,0.6000688661492908
85,Archers,0.521311475409836,0.5045066991473812,0.6061925858118704
75,Bomb Tower,0.5227272727272727,0.5030942012376804,0.6509701004628238
90,Three Musketeers,0.7272727272727273,0.5017006802721088,0.6594427244582043
20,Electro Dragon,0.54,0.5020585048754063,0.6711254583898127
5,Zappies,0.5384615384615384,0.5020602906094123,0.6771662018267924
34,Wall Breakers,0.5206349206349207,0.5027272727272727,0.6902558025300531
93,Tesla,0.5247933884297521,0.5025709814442209,0.7160158873945781
37,Goblin Cage,0.5428571428571428,0.5018299246501615,0.735082423387609
23,Barbarian Barrel,0.5130434782608696,0.5036024844720497,0.7466420798151634
83,Musketeer,0.5167095115681234,0.5027739251040222,0.7742083643284182
25,Hog Rider,0.5127840909090909,0.5036150585888806,0.78982365067297
36,Mighty Miner,0.5173745173745173,0.5022441651705566,0.792031129259065
96,Knight,0.5123809523809524,0.5028639618138425,0.8049747594199661
9,Lumberjack,0.5153061224489796,0.501880947112193,0.8398743691052414
42,Fire Spirit,0.5303030303030303,0.501613250161325,0.8617415778508686
61,Furnace,0.511400651465798,0.5020417422867514,0.8717464183550379
35,Barbarians,0.5257731958762887,0.5017323516673885,0.8857686777529699
57,Tornado,0.5075125208681135,0.5024295432458697,0.9079915984828263
4,Flying Machine,0.5119047619047619,0.5016494391906752,0.9131099470754555
15,Dark Prince,0.5083798882681564,0.5019508836355291,0.9404150765876033
72,Goblin Barrel,0.5073529411764706,0.5019735314604132,0.9441798349367462
44,Electro Spirit,0.5365853658536586,0.501497646555413,1.0
38,Mother Witch,0.5089285714285714,0.5014121225287855,1.0
99,Princess,0.5021459227467812,0.501338688085676,1.0
106,Goblin Giant,0.53125,0.5013879991458466,1.0
81,Battle Healer,0.5263157894736842,0.501389779773359,1.0
86,Magic Archer,0.5030800821355236,0.5016556291390728,1.0
