Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
37,Goblin Cage,0.8157894736842105,0.5669398907103825,0.044533782183793655
5,Zappies,0.75,0.5614035087719298,0.32026576075519353
40,Cannon Cart,0.6470588235294118,0.5619891008174387,0.620548898708251
107,X-Bow,0.6666666666666666,0.5595158036314728,0.7103816512796232
3,Rascals,0.6,0.5615595075239398,0.8212809598142914
31,Lava Hound,0.5652173913043478,0.5591615956727518,1.0
51,Elixir Collector,0.6,0.5577822311289246,1.0
19,Goblin Hut,0.574468085106383,0.5615120274914089,1.0
83,Barbarian Hut,0.6666666666666666,0.5577051367578385,1.0
