Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
88,Mega Knight,0.5272786142140198,0.4896292041610824,2.9774370523393322e-05
59,Skeleton Army,0.5261085430576956,0.4888472352389878,5.922768117753955e-05
25,Hog Rider,0.5201107548819586,0.4871195942338494,0.00012236034064068237
102,Inferno Dragon,0.5412035262552702,0.4883817643083641,0.00014776846253502552
12,Valkyrie,0.5214974660781428,0.4873164218958611,0.00016910256117957118
52,Electro Wizard,0.521200143729788,0.4869164619164619,0.0003161061905983344
62,Mini P.E.K.K.A,0.5251946862116353,0.4873569794050343,0.00044750330557302855
56,P.E.K.K.A,0.5241824044219254,0.4870886654478976,0.0005944417541109565
29,Minions,0.5300964416361822,0.4872339296140984,0.0009613833012936096
1,Witch,0.5237249429078914,0.4867355487294052,0.0010882616787224195
9,Lumberjack,0.5383451059535822,0.4871627064035441,0.0014847035788102044
15,Dark Prince,0.5436507936507936,0.4869676404052326,0.0019824312304297397
32,Bandit,0.5304998032270759,0.4868686868686869,0.0020250766518865966
72,Goblin Barrel,0.5205442902881536,0.4859653000331528,0.0028826415794953432
55,The Log,0.5184349134687735,0.4855814995240495,0.0035952862722255963
27,Wizard,0.5093913043478261,0.4827907554671968,0.004583982625151826
50,Goblin Gang,0.5223880597014925,0.4860071159258669,0.004993469178710223
73,Balloon,0.5282358820589705,0.4861678004535147,0.0086824681652335
97,Knight,0.5279878971255674,0.4861299904344762,0.009203027430018523
0,Mega Minion,0.5416666666666666,0.4862921131383338,0.010181671878313063
105,Elite Barbarians,0.5152022315202232,0.4848584414873227,0.010744381067052564
13,Fireball,0.5068959002456074,0.4822086630822207,0.011498769363074857
83,Musketeer,0.5199468085106383,0.4854007146503318,0.021866776436435028
86,Magic Archer,0.5256111757857974,0.4857412559618442,0.02224458298843365
58,Firecracker,0.5182421227197347,0.4852320675105485,0.02291396749849912
90,Poison,0.5348399246704332,0.4858545034642032,0.026850350496019425
94,Tesla,0.5253246753246753,0.4856200137890278,0.03058876949524493
76,Baby Dragon,0.5198992443324937,0.485322994813957,0.03089009277984948
54,Prince,0.517897598550068,0.4851570853913132,0.032570047344264504
22,Ram Rider,0.5388235294117647,0.4858068203467327,0.03276385522425072
2,Arrows,0.5151754040204967,0.4848516235952146,0.03285326340219592
49,Ice Wizard,0.5357917570498916,0.4857579812655324,0.03605095788190648
70,Bats,0.5052577583995896,0.4826990583384409,0.04877447219994832
64,Battle Ram,0.5242896425297892,0.4853288364249578,0.07212422486441109
100,Princess,0.5118483412322274,0.4844953384677746,0.07927684731663313
93,Bowler,0.5492227979274611,0.4854613233923578,0.083891745423847
24,Bomber,0.5223463687150838,0.4852204891199692,0.09237104280559717
31,Lava Hound,0.5610687022900763,0.4854058561897702,0.09655656306111175
66,Royal Ghost,0.5243128964059197,0.4852631578947368,0.09785216794160075
71,Rage,0.5156695156695157,0.4848840622248312,0.11292356938779778
43,Hunter,0.5555555555555556,0.4853882549401614,0.11303234178823196
17,Minion Horde,0.513375796178344,0.4847109883606234,0.11631505894226658
80,Skeleton Dragons,0.5891472868217055,0.4852880232076254,0.1339554973982648
89,Freeze,0.5242839352428393,0.4851969776172599,0.13432309760648029
7,Guards,0.5201271186440678,0.485073198736963,0.14076720166145326
45,Skeleton Barrel,0.5264705882352941,0.4852121326655957,0.14308962118580895
106,Goblin Giant,0.5493421052631579,0.48533098133878,0.14402929748665894
46,Royal Delivery,0.6041666666666666,0.4852413793103448,0.14712524759736462
4,Flying Machine,0.5469798657718121,0.4852886578800817,0.16347497073841066
79,Tombstone,0.5264026402640264,0.4851694915254237,0.16793916649508694
85,Archers,0.5077105575326216,0.4842261904761905,0.17918208240824435
18,Miner,0.5041231445849368,0.4838468068108054,0.2325547696609149
10,Executioner,0.5048991354466859,0.4839639998011039,0.234679409871903
60,Mirror,0.5102222222222222,0.4845808599971044,0.23776148451921322
41,Giant,0.51071761416589,0.4846194579502239,0.2437392126887744
98,Sparky,0.5067729083665339,0.4843378174930795,0.2810838023393703
104,Lightning,0.5183887915936952,0.4849353701527614,0.2867399865590298
47,Electro Giant,0.5153846153846153,0.4848556331383279,0.2919147959664411
19,Goblin Hut,0.5211864406779662,0.484981753532329,0.29762855845915404
23,Barbarian Barrel,0.5163934426229508,0.4848841589753249,0.30269166343493914
61,Furnace,0.5128205128205128,0.4847710934544079,0.31051161691542234
21,Fisherman,0.547945205479452,0.4850691244239631,0.34882093752422383
34,Wall Breakers,0.5054945054945055,0.4845155791268112,0.4630503364683186
