Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
16,Skeletons,0.651685393258427,0.5190458579881657,0.09434685060685029
30,Archer Queen,0.6578947368421053,0.5174940465286683,0.35062551312010015
52,Golden Knight,0.6,0.5173489994492381,0.5458508799604918
97,Sparky,0.544973544973545,0.5208048446962298,0.5597645521690191
11,Phoenix,0.5806451612903226,0.5173873045078197,0.588261650563344
9,Lumberjack,0.5503355704697986,0.5181376215407629,0.6423076065264544
93,Tesla,0.5638297872340425,0.5176753655376642,0.6605250244407933
73,Graveyard,0.5425531914893617,0.5183650404972688,0.6794040232851251
83,Barbarian Hut,0.6666666666666666,0.5166818596171376,0.6801722977520526
41,Fire Spirit,0.5495495495495496,0.5176383215744523,0.6865828062474557
32,Bandit,0.5571428571428572,0.5172286714575272,0.7346644088146312
74,Bomb Tower,0.5463917525773195,0.5174074074074074,0.7735501747600952
56,Tornado,0.5470085470085471,0.5176579925650557,0.7932431147643763
43,Electro Spirit,0.5675675675675675,0.5168498168498169,0.8157757938438267
19,Goblin Hut,0.5335397316821465,0.5269434628975265,0.8199745850776468
28,Cannon,0.5337423312883436,0.5178102737157855,0.8244642717218829
89,Poison,0.5359116022099447,0.518058690744921,0.833233022783958
90,Three Musketeers,0.5490196078431373,0.5168931325743665,0.8427532312240735
51,Electro Wizard,0.5272727272727272,0.5195618153364632,0.8852574200000953
50,Elixir Collector,0.5384615384615384,0.517337289078435,0.889524105674094
100,Ice Golem,0.5333333333333333,0.516417365924845,1.0
39,Royal Recruits,0.5333333333333333,0.516417365924845,1.0
86,Clone,0.5238095238095238,0.5165902841429881,1.0
47,Earthquake,0.625,0.5164875204955365,1.0
4,Flying Machine,0.5208333333333334,0.516608552027895,1.0
7,Guards,0.5238095238095238,0.5169037502309255,1.0
57,Firecracker,0.5182926829268293,0.5173448340521283,1.0
23,Barbarian Barrel,0.5285714285714286,0.5168601437258153,1.0
22,Ram Rider,0.52,0.5166146502662016,1.0
